Fecha,Temperatura_C,Radiacion_Solar_W_m2,Actividad_Agua_aw
2025-04-22,20.94,992.0833333333334,0.49689999999999995
2025-04-23,19.89,1167.5,0.4731
2025-04-24,17.17,1007.9166666666666,0.5696
2025-04-25,17.12,550.0,0.5714
2025-04-26,14.18,477.0833333333333,0.6973
2025-04-27,16.29,732.9166666666666,0.6561
2025-04-28,18.06,987.0833333333334,0.6215999999999999
2025-04-29,20.77,1162.0833333333333,0.4996
2025-04-30,19.79,1010.0,0.5005
2025-05-01,23.75,1090.4166666666667,0.5223
2025-05-02,23.58,1132.9166666666667,0.4568
2025-05-03,17.56,564.5833333333334,0.6088
2025-05-04,16.89,772.9166666666666,0.6331
2025-05-05,22.21,1143.75,0.4892
2025-05-06,22.48,1192.0833333333333,0.49119999999999997
2025-05-07,23.31,1195.8333333333333,0.4886
2025-05-08,25.36,1199.1666666666667,0.4189
2025-05-09,27.79,1190.0,0.3987
2025-05-10,29.65,1200.8333333333333,0.31489999999999996
2025-05-11,25.56,1241.6666666666667,0.2899
2025-05-12,20.38,1242.5,0.4955
2025-05-13,19.29,1059.5833333333333,0.5196000000000001
2025-05-14,21.09,1241.6666666666667,0.4592
2025-05-15,23.61,1230.8333333333333,0.4324
2025-05-16,25.13,1145.4166666666667,0.3861
2025-05-17,20.85,1070.8333333333333,0.4866
2025-05-18,21.79,1219.1666666666667,0.4404
2025-05-19,24.84,1279.1666666666667,0.39630000000000004
2025-05-20,25.11,1287.9166666666667,0.37439999999999996
2025-05-21,26.76,1284.5833333333333,0.2796
2025-05-22,26.17,1299.1666666666667,0.25120000000000003
2025-05-23,23.37,1220.4166666666667,0.355
2025-05-24,24.88,1170.0,0.40259999999999996
2025-05-25,24.47,1251.25,0.3815
2025-05-26,22.5,1195.0,0.4536
2025-05-27,26.82,1234.5833333333333,0.35969999999999996
2025-05-28,26.95,1234.5833333333333,0.3262
2025-05-29,26.33,1241.6666666666667,0.3164
2025-05-30,31.53,1226.6666666666667,0.3
2025-05-31,35.09,1152.5,0.2144
2025-06-01,32.07,1216.25,0.2205
2025-06-02,28.91,1226.6666666666667,0.3139
2025-06-03,29.36,1212.0833333333333,0.2943
2025-06-04,30.44,1251.6666666666667,0.2637
2025-06-05,30.68,1230.8333333333333,0.3234
2025-06-06,31.25,1232.9166666666667,0.3386
2025-06-07,31.99,1201.6666666666667,0.3056
2025-06-08,32.53,1214.1666666666667,0.3115
2025-06-09,32.53,1240.0,0.2912
2025-06-10,32.79,1253.75,0.30329999999999996
2025-06-11,29.97,1320.8333333333333,0.20620000000000002
2025-06-12,28.32,1341.6666666666667,0.24050000000000002
2025-06-13,28.44,1347.0833333333333,0.2255
2025-06-14,28.84,1321.6666666666667,0.19399999999999998
2025-06-15,30.13,1309.5833333333333,0.1784
2025-06-16,29.39,1325.4166666666667,0.1773
2025-06-17,29.5,1332.9166666666667,0.2071
2025-06-18,31.11,1308.3333333333333,0.22699999999999998
2025-06-19,30.31,1323.75,0.21850000000000003
2025-06-20,24.75,1343.75,0.3396
2025-06-21,22.69,1352.9166666666667,0.365
2025-06-22,25.68,1321.25,0.2868
2025-06-23,28.05,1234.5833333333333,0.23579999999999998
2025-06-24,29.72,1221.6666666666667,0.24170000000000003
2025-06-25,30.24,1257.5,0.2305
2025-06-26,31.54,1297.5,0.23260000000000003
2025-06-27,32.48,1289.1666666666667,0.2339
2025-06-28,34.38,1266.6666666666667,0.2119
2025-06-29,34.71,1244.5833333333333,0.2024
2025-06-30,34.1,1309.1666666666667,0.1891
2025-07-01,33.79,1285.8333333333333,0.17309999999999998
2025-07-02,33.34,1255.0,0.2194
2025-07-03,33.13,1188.3333333333333,0.2255
2025-07-04,29.24,1304.5833333333333,0.2487
2025-07-05,28.79,1303.75,0.2398
2025-07-06,30.11,1320.4166666666667,0.2089
2025-07-07,31.32,1317.9166666666667,0.2371
2025-07-08,32.07,1307.0833333333333,0.25670000000000004
2025-07-09,30.83,1317.9166666666667,0.2545
2025-07-10,32.25,1304.1666666666667,0.1998
2025-07-11,34.8,1272.5,0.1606
2025-07-12,35.23,1250.0,0.20129999999999998
2025-07-13,34.54,1202.5,0.25370000000000004
2025-07-14,34.93,1205.8333333333333,0.22699999999999998
2025-07-15,34.7,1247.5,0.23079999999999998
2025-07-16,33.0,1245.8333333333333,0.3086
2025-07-17,32.48,1256.25,0.30920000000000003
2025-07-18,32.17,1238.3333333333333,0.2545
2025-07-19,31.65,1212.9166666666667,0.2682
2025-07-20,31.9,1257.5,0.249
2025-07-21,30.09,1255.8333333333333,0.3549
2025-07-22,29.05,1258.75,0.38659999999999994
2025-07-23,29.36,1226.6666666666667,0.3971
2025-07-24,29.76,1230.0,0.3488
2025-07-25,28.63,1211.25,0.38909999999999995
2025-07-26,28.96,1200.4166666666667,0.3592
2025-07-27,29.76,1215.0,0.35240000000000005
2025-07-28,30.69,1204.5833333333333,0.2858
2025-07-29,31.03,1212.5,0.2667
2025-07-30,30.46,1225.8333333333333,0.25420000000000004
2025-07-31,30.4,1231.25,0.2675
2025-08-01,31.63,1213.3333333333333,0.2876
2025-08-02,30.63,1239.5833333333333,0.2673
2025-08-03,29.68,1240.8333333333333,0.2926
2025-08-04,27.93,1217.5,0.2923
2025-08-05,29.09,1220.4166666666667,0.2798
2025-08-06,30.95,1198.3333333333333,0.21850000000000003
2025-08-07,32.74,1207.9166666666667,0.2
2025-08-08,33.41,1220.0,0.2234
2025-08-09,33.97,1176.6666666666667,0.2254
2025-08-10,34.22,1139.1666666666667,0.226
2025-08-11,33.54,1125.4166666666667,0.2027
2025-08-12,32.61,1126.6666666666667,0.2076
2025-08-13,31.52,1157.0833333333333,0.2168
2025-08-14,30.07,1162.5,0.3104
2025-08-15,29.64,1135.8333333333333,0.3296
2025-08-16,29.72,1129.5833333333333,0.4525
2025-08-17,29.33,1117.5,0.3872
2025-08-18,28.18,1141.6666666666667,0.3525
2025-08-19,30.03,1123.75,0.2872
2025-08-20,29.87,1144.5833333333333,0.25239999999999996
2025-08-21,33.3,1064.1666666666667,0.22440000000000002
2025-08-22,36.1,1053.75,0.1609
2025-08-23,36.27,696.25,0.1937
2025-08-24,36.45,1000.4166666666666,0.2824
2025-08-25,34.7,993.3333333333334,0.281
2025-08-26,30.06,922.0833333333334,0.3457
2025-08-27,31.54,1044.5833333333333,0.3043
2025-08-28,30.81,999.5833333333334,0.2741
2025-08-29,30.49,967.0833333333334,0.2614
2025-08-30,31.47,988.3333333333334,0.2339
2025-08-31,33.17,967.9166666666666,0.2288
2025-09-01,34.12,980.8333333333334,0.21600000000000003
2025-09-02,33.5,890.0,0.2862
2025-09-03,32.52,944.1666666666666,0.272
2025-09-04,31.65,960.4166666666666,0.271
2025-09-05,29.08,979.1666666666666,0.33759999999999996
2025-09-06,29.11,1005.0,0.3492
2025-09-07,27.94,1019.5833333333334,0.3169
2025-09-08,28.59,1005.8333333333334,0.3884
2025-09-09,27.78,974.1666666666666,0.4917
2025-09-10,26.21,914.5833333333334,0.5172
2025-09-11,26.25,917.0833333333334,0.4987
2025-09-12,26.45,904.5833333333334,0.4697
2025-09-13,27.38,912.5,0.41229999999999994
2025-09-14,26.58,964.1666666666666,0.40759999999999996
2025-09-15,28.48,942.9166666666666,0.37189999999999995
2025-09-16,30.66,915.4166666666666,0.2459
2025-09-17,30.98,857.9166666666666,0.2488
2025-09-18,26.45,224.58333333333334,0.3881
2025-09-19,26.12,606.25,0.6602
2025-09-20,26.94,850.8333333333334,0.5513
2025-09-21,26.91,861.6666666666666,0.5084000000000001
2025-09-22,27.25,852.5,0.4443
2025-09-23,28.62,848.3333333333334,0.4006
2025-09-24,27.27,654.1666666666666,0.5550999999999999
2025-09-25,25.13,721.6666666666666,0.5986
2025-09-26,25.68,822.5,0.5592
2025-09-27,26.38,802.5,0.5606
2025-09-28,26.03,800.0,0.5999
2025-09-29,25.63,630.0,0.5861999999999999
2025-09-30,24.29,772.9166666666666,0.5549000000000001
2025-10-01,24.2,787.0833333333334,0.5183
2025-10-02,23.67,732.0833333333334,0.652
2025-10-03,19.48,662.0833333333334,0.6264
2025-10-04,20.08,806.25,0.6211
2025-10-05,22.18,803.75,0.5353
2025-10-06,23.69,792.0833333333334,0.4833
2025-10-07,24.78,791.6666666666666,0.3611
2025-10-08,22.52,777.9166666666666,0.5377000000000001
2025-10-09,21.17,792.0833333333334,0.5954999999999999
2025-10-10,21.34,787.0833333333334,0.5763
2025-10-11,19.49,773.75,0.5523
2025-10-12,18.17,801.6666666666666,0.4936
2025-10-13,16.74,327.9166666666667,0.6638
2025-10-14,13.51,267.9166666666667,0.7287
2025-10-15,14.3,639.5833333333334,0.7017
2025-10-16,15.08,687.9166666666666,0.7594
2025-10-17,16.94,727.9166666666666,0.6376
2025-10-18,18.54,701.6666666666666,0.5342
2025-10-19,19.2,690.0,0.4978
2025-10-20,19.48,694.5833333333334,0.6046
2025-10-21,20.6,672.5,0.5789
2025-10-22,18.26,295.4166666666667,0.7422
2025-10-23,16.85,560.4166666666666,0.7904000000000001
2025-10-24,17.28,663.75,0.7559999999999999
2025-10-25,17.59,482.9166666666667,0.6960999999999999
2025-10-26,18.29,596.6666666666666,0.6853
2025-10-27,16.0,382.5,0.7859
2025-10-28,16.6,638.3333333333334,0.7811
2025-10-29,16.89,630.8333333333334,0.7806000000000001
2025-10-30,17.96,627.5,0.7162999999999999
2025-10-31,17.7,626.25,0.6773
2025-11-01,17.5,618.3333333333334,0.674
2025-11-02,16.17,553.3333333333334,0.7023
2025-11-03,17.9,601.25,0.5839
2025-11-04,17.01,609.1666666666666,0.636
2025-11-05,15.11,322.0833333333333,0.7966
2025-11-06,16.97,491.6666666666667,0.7315999999999999
2025-11-07,17.16,572.9166666666666,0.7558
2025-11-08,17.54,576.25,0.7981999999999999
2025-11-09,18.01,562.9166666666666,0.6628000000000001
2025-11-10,18.13,546.25,0.5705
2025-11-11,18.25,352.0833333333333,0.5637
2025-11-12,17.94,483.3333333333333,0.6620999999999999
2025-11-13,18.51,230.83333333333334,0.6618
2025-11-14,16.65,175.83333333333334,0.8368000000000001
2025-11-15,14.78,162.08333333333334,0.9047
2025-11-16,13.24,168.33333333333334,0.8762000000000001
2025-11-17,11.72,107.08333333333333,0.8306
2025-11-18,10.89,360.4166666666667,0.7848
2025-11-19,11.27,472.5,0.7835
2025-11-20,10.83,182.08333333333334,0.8729
2025-11-21,11.52,406.6666666666667,0.8345999999999999
2025-11-22,10.94,451.25,0.8334999999999999
2025-11-23,10.43,492.0833333333333,0.8417
2025-11-24,9.77,279.1666666666667,0.9006000000000001
2025-11-25,9.6,215.41666666666666,0.9177
2025-11-26,8.8,267.5,0.8916
2025-11-27,10.04,327.0833333333333,0.8704000000000001
2025-11-28,8.47,247.91666666666666,0.9005
2025-11-29,9.43,264.5833333333333,0.8812000000000001
2025-11-30,7.58,165.0,0.8887999999999999
2025-12-01,7.15,281.25,0.9064
2025-12-02,7.28,237.08333333333334,0.9045000000000001
2025-12-03,6.44,221.25,0.8440000000000001
2025-12-04,5.31,278.75,0.8189
2025-12-05,5.92,232.91666666666666,0.8709
2025-12-06,5.59,175.0,0.9281
2025-12-07,5.71,196.66666666666666,0.9198000000000001
2025-12-08,5.97,210.83333333333334,0.9267
2025-12-09,4.86,181.66666666666666,0.9162
2025-12-10,6.85,207.08333333333334,0.8695
2025-12-11,7.61,214.58333333333334,0.8808
2025-12-12,8.78,255.0,0.8107
2025-12-13,9.34,266.25,0.8284
2025-12-14,9.18,255.83333333333334,0.8266
2025-12-15,7.34,241.25,0.9107
2025-12-16,7.53,225.41666666666666,0.8681
2025-12-17,11.27,305.0,0.8919
2025-12-18,10.76,257.9166666666667,0.9005
2025-12-19,9.54,248.75,0.8831
2025-12-20,12.08,407.0833333333333,0.8498
2025-12-21,13.64,282.9166666666667,0.8593999999999999
2025-12-22,12.26,390.8333333333333,0.8222
2025-12-23,14.05,280.0,0.7866
2025-12-24,13.99,85.0,0.8515
2025-12-25,12.69,206.66666666666666,0.8479000000000001
2025-12-26,11.32,282.9166666666667,0.821
2025-12-27,8.85,347.9166666666667,0.8690000000000001
2025-12-28,8.09,273.75,0.8186
2025-12-29,4.95,371.25,0.7181000000000001
2025-12-30,7.24,215.83333333333334,0.7338
2025-12-31,9.48,167.91666666666669,0.9153
