Fecha,Temp_Maxima_Superficie_C,Temp_Minima_Superficie_C,Radiacion_Solar_Maxima_W_m2,Actividad_Agua_Minima_aw
2025-06-29,31.79,5.03,700.0056,0.1324
2025-06-30,32.33,4.09,494.44839999999994,0.0669
2025-07-01,33.44,4.29,638.8939999999999,0.0519
2025-07-02,37.87,6.26,580.5601999999999,0.0461
2025-07-03,34.68,6.32,572.2267999999999,0.057999999999999996
2025-07-04,32.29,4.84,636.1161999999999,0.0767
2025-07-05,31.83,4.63,644.4495999999999,0.09140000000000001
2025-07-06,32.52,4.17,700.0056,0.1523
2025-07-07,31.66,4.12,500.00399999999996,0.1402
2025-07-08,30.85,2.41,452.7813999999999,0.1459
2025-07-09,27.42,3.11,413.89219999999995,0.3064
2025-07-10,26.85,2.3,427.78119999999996,0.3716
2025-07-11,29.16,2.79,477.78159999999997,0.23620000000000002
2025-07-12,29.64,1.98,513.893,0.17620000000000002
2025-07-13,31.14,2.83,663.8942,0.08689999999999999
2025-07-14,29.36,2.86,519.4485999999999,0.2025
2025-07-15,29.1,3.78,552.7822,0.2507
2025-07-16,31.73,1.62,572.2267999999999,0.0947
2025-07-17,33.9,2.71,588.8936,0.033
2025-07-18,33.4,2.55,527.7819999999999,0.0653
2025-07-19,34.19,4.78,636.1161999999999,0.0836
2025-07-20,34.28,4.66,550.0043999999999,0.0981
2025-07-21,33.24,3.42,547.2266,0.062400000000000004
2025-07-22,31.82,2.08,483.33719999999994,0.0746
2025-07-23,32.29,1.03,655.5607999999999,0.064
2025-07-24,30.56,0.88,700.0056,0.1142
2025-07-25,32.18,2.42,555.56,0.09179999999999999
2025-07-26,27.57,4.46,572.2267999999999,0.2929
2025-07-27,30.34,4.35,722.228,0.1928
2025-07-28,34.68,5.24,636.1161999999999,0.0785
2025-07-29,36.19,6.18,633.3383999999999,0.0702
2025-07-30,33.12,7.09,502.7818,0.1624
2025-07-31,29.36,9.34,636.1161999999999,0.2585
2025-08-01,27.87,7.31,738.8947999999999,0.23739999999999997
2025-08-02,32.51,5.28,758.3394,0.1304
2025-08-03,35.36,5.48,616.6716,0.10310000000000001
2025-08-04,36.56,7.38,608.3381999999999,0.0821
2025-08-05,35.53,5.66,538.8932,0.09960000000000001
2025-08-06,35.03,4.75,547.2266,0.064
2025-08-07,34.15,4.29,630.5605999999999,0.0633
2025-08-08,33.02,4.28,630.5605999999999,0.0833
2025-08-09,31.56,2.38,702.7833999999999,0.139
2025-08-10,34.25,2.38,613.8937999999999,0.06269999999999999
2025-08-11,35.48,3.79,552.7822,0.0318
2025-08-12,36.79,5.12,575.0045999999999,0.0555
2025-08-13,34.91,4.91,647.2274,0.11019999999999999
2025-08-14,32.35,4.59,736.1169999999998,0.16879999999999998
2025-08-15,31.63,3.49,697.2277999999999,0.14529999999999998
2025-08-16,31.35,3.9,638.8939999999999,0.1378
2025-08-17,28.37,3.75,697.2277999999999,0.28809999999999997
2025-08-18,24.27,7.17,691.6722,0.447
2025-08-19,31.7,2.54,841.6733999999999,0.1232
2025-08-20,34.54,3.08,755.5616,0.06860000000000001
2025-08-21,30.99,3.72,591.6714,0.1818
2025-08-22,27.54,2.43,833.3399999999999,0.3
2025-08-23,29.64,1.18,791.673,0.1841
2025-08-24,31.91,0.26,872.2292,0.0718
2025-08-25,36.64,2.53,786.1174,0.0195
2025-08-26,33.74,1.7,677.7832,0.0321
2025-08-27,36.43,3.23,827.7843999999999,0.0926
2025-08-28,34.07,4.39,602.7825999999999,0.1063
2025-08-29,27.29,5.14,641.6718,0.38659999999999994
2025-08-30,25.33,3.2,872.2292,0.3914
2025-08-31,28.69,0.54,900.0072,0.1505
2025-09-01,31.33,4.11,788.8951999999999,0.1625
2025-09-02,33.8,3.61,805.5619999999999,0.1093
2025-09-03,34.26,2.13,819.451,0.1282
2025-09-04,31.77,2.04,866.6736,0.20079999999999998
2025-09-05,32.5,3.46,863.8957999999999,0.20440000000000003
2025-09-06,32.89,3.35,702.7833999999999,0.2147
2025-09-07,31.77,7.77,433.3368,0.2707
2025-09-08,35.42,4.16,927.7851999999999,0.1061
2025-09-09,39.65,6.56,836.1177999999999,0.0379
2025-09-10,37.71,5.93,925.0074,0.10529999999999999
2025-09-11,35.6,4.67,675.0054,0.0761
2025-09-12,35.22,4.71,702.7833999999999,0.196
2025-09-13,38.47,5.44,905.5627999999998,0.1522
2025-09-14,38.36,6.36,666.6719999999999,0.1355
2025-09-15,38.32,5.75,766.6727999999998,0.1417
2025-09-16,37.59,6.37,769.4505999999999,0.1442
2025-09-17,39.25,4.51,958.341,0.0635
2025-09-18,37.16,4.66,908.3405999999999,0.0617
2025-09-19,38.08,5.7,800.0063999999999,0.1079
2025-09-20,36.73,5.47,811.1175999999999,0.1728
2025-09-21,34.75,5.44,894.4516,0.1591
2025-09-22,38.91,5.73,822.2287999999999,0.08470000000000001
2025-09-23,38.68,6.11,961.1187999999999,0.121
2025-09-24,41.32,5.86,825.0065999999999,0.0507
2025-09-25,36.31,7.17,730.5613999999999,0.1348
2025-09-26,33.61,9.31,886.1181999999999,0.1637
2025-09-27,42.11,6.95,936.1185999999999,0.0464
2025-09-28,37.79,6.25,958.341,0.1405
2025-09-29,36.99,5.76,966.6743999999999,0.1862
2025-09-30,37.39,5.22,858.3401999999999,0.1266
2025-10-01,39.23,5.11,922.2295999999999,0.0783
2025-10-02,41.46,6.11,844.4512,0.049100000000000005
2025-10-03,39.44,5.82,816.6732,0.07200000000000001
2025-10-04,35.93,5.86,991.6745999999998,0.1674
2025-10-05,36.4,4.61,900.0072,0.1444
2025-10-06,35.65,5.51,833.3399999999999,0.2026
2025-10-07,36.47,7.28,919.4517999999999,0.1998
2025-10-08,37.02,4.56,991.6745999999998,0.1788
2025-10-09,35.91,6.06,1041.675,0.19140000000000001
2025-10-10,37.0,5.58,1050.0084,0.1877
2025-10-11,37.19,5.22,1058.3418,0.1563
2025-10-12,36.83,4.83,883.3403999999999,0.17079999999999998
2025-10-13,36.72,5.97,1005.5636,0.15560000000000002
2025-10-14,37.9,5.45,1050.0084,0.1204
2025-10-15,38.7,6.02,1000.0079999999999,0.1315
2025-10-16,37.42,6.94,966.6743999999999,0.2181
2025-10-17,39.67,8.3,861.1179999999999,0.16079999999999997
2025-10-18,40.34,7.72,991.6745999999998,0.1547
2025-10-19,38.66,7.34,836.1177999999999,0.1805
2025-10-20,39.46,7.49,919.4517999999999,0.1591
2025-10-21,38.5,6.58,938.8963999999999,0.1549
2025-10-22,39.11,6.08,1055.5639999999999,0.1354
2025-10-23,39.42,7.3,1105.5644,0.1765
2025-10-24,36.8,7.11,933.3407999999998,0.2237
2025-10-25,40.05,5.76,838.8956,0.1452
2025-10-26,38.7,9.39,1061.1195999999998,0.1726
2025-10-27,38.94,6.43,969.4522,0.1707
2025-10-28,40.12,7.67,1058.3418,0.1456
2025-10-29,40.42,6.79,1013.8969999999998,0.13140000000000002
2025-10-30,40.72,7.1,1008.3413999999999,0.131
2025-10-31,38.89,7.26,977.7855999999999,0.1463
2025-11-01,38.94,6.2,1038.8971999999999,0.1678
2025-11-02,40.18,6.22,1047.2305999999999,0.12300000000000001
2025-11-03,37.97,6.51,1033.3416,0.1931
2025-11-04,37.55,7.0,986.1189999999998,0.2036
2025-11-05,37.73,6.72,1002.7857999999999,0.235
2025-11-06,34.41,7.7,1022.2303999999999,0.27390000000000003
2025-11-07,39.95,5.64,1122.2312,0.1409
2025-11-08,38.85,8.31,1036.1193999999998,0.157
2025-11-09,41.08,7.89,1083.3419999999999,0.134
2025-11-10,40.23,8.35,983.3412,0.1402
2025-11-11,39.0,8.34,1002.7857999999999,0.1777
2025-11-12,38.91,6.88,1083.3419999999999,0.1602
2025-11-13,39.02,7.66,1077.7864,0.1631
2025-11-14,39.27,6.76,1102.7866,0.21109999999999998
2025-11-15,38.36,7.06,1086.1198,0.1507
2025-11-16,39.39,8.96,1069.453,0.1773
2025-11-17,40.2,7.43,1105.5644,0.1966
2025-11-18,38.33,9.85,1086.1198,0.2324
2025-11-19,40.07,10.2,1094.4532,0.145
2025-11-20,40.11,8.45,1100.0087999999998,0.1534
2025-11-21,38.21,8.33,1069.453,0.2048
2025-11-22,39.36,7.85,1075.0086,0.2121
2025-11-23,40.12,10.12,1113.8977999999997,0.23399999999999999
2025-11-24,40.32,9.02,1111.12,0.17420000000000002
2025-11-25,41.83,7.52,1150.0091999999997,0.126
2025-11-26,40.64,7.79,1116.6755999999998,0.1444
2025-11-27,39.44,8.46,988.8967999999999,0.218
2025-11-28,39.23,9.65,952.7854,0.21280000000000002
2025-11-29,38.88,9.23,1094.4532,0.2711
2025-11-30,39.16,9.5,1097.231,0.23579999999999998
2025-12-01,38.63,10.26,1108.3422,0.2025
2025-12-02,40.65,12.75,958.341,0.204
2025-12-03,39.11,12.39,911.1183999999998,0.233
2025-12-04,39.02,12.23,1088.8975999999998,0.2375
2025-12-05,40.35,11.58,1019.4525999999998,0.2789
2025-12-06,37.45,10.35,1019.4525999999998,0.3665
2025-12-07,38.87,8.71,1052.7862,0.1968
2025-12-08,40.31,8.06,1002.7857999999999,0.18309999999999998
2025-12-09,39.17,11.8,894.4516,0.2357
2025-12-10,40.29,12.02,1061.1195999999998,0.2323
2025-12-11,36.26,11.14,1111.12,0.26289999999999997
2025-12-12,37.74,9.95,1125.0089999999998,0.2594
2025-12-13,38.68,7.92,1125.0089999999998,0.21850000000000003
